Zip.Code,Population
13205,"17,479"
10580,"17,391"
11738,"17,352"
12831,"17,228"
12589,"17,017"
13676,"17,016"
13039,"16,837"
14607,"16,750"
14305,"16,683"
12054,"16,649"
14611,"16,630"
14052,"16,614"
14615,"16,613"
10606,"16,600"
,
13203,"16,528"
10549,"16,465"
13413,"16,382"
13206,"16,360"
11788,"16,228"
13662,"16,069"
11937,"15,984"
14901,"15,965"
12524,"15,964"
11703,"15,952"
12206,"15,944"
11950,"15,884"
10017,"15,801"
11767,"15,783"
13669,"15,782"
11780,"15,753"
10960,"15,684"
12953,"15,569"
10965,"15,517"
13104,"15,515"
14904,"15,480"
13031,"15,451"
10470,"15,432"
12308,"15,422"
11004,"15,234"
10307,"15,232"
12118,"15,218"
11946,"15,145"
14564,"15,127"
11798,"15,033"
12182,"14,928"
11782,"14,915"
13215,"14,892"
11949,"14,863"
13219,"14,781"
12771,"14,757"
10804,"14,753"
14210,"14,723"
14063,"14,676"
11366,"14,650"
14619,"14,602"
11751,"14,559"
12019,"14,429"
12801,"14,381"
14048,"14,177"
14411,"14,176"
14610,"14,050"
14222,"14,037"
12538,"13,996"
14513,"13,970"
10980,"13,943"
11730,"13,860"
11702,"13,788"
13057,"13,772"
11598,"13,715"
14613,"13,578"
11953,"13,401"
10924,"13,389"
11961,"13,330"
13421,"13,291"
12839,"13,265"
11239,"13,244"
10941,"13,176"
10520,"13,152"
13207,"13,135"
10528,"13,128"
13815,"12,985"
14527,"12,951"
13209,"12,940"
11693,"12,919"
14843,"12,911"
10570,"12,893"
12528,"12,871"
11577,"12,808"
10530,"12,791"
11764,"12,723"
11753,"12,596"
14301,"12,594"
11742,"12,566"
13066,"12,550"
10803,"12,544"
11755,"12,510"
14004,"12,496"
14605,"12,470"
11766,"12,414"
11951,"12,391"
11545,"12,390"
10514,"12,389"
10918,"12,287"
12095,"12,228"
14810,"12,135"
12586,"12,129"
10474,"12,127"
11576,"12,099"
14219,"12,092"
10927,"12,081"
13032,"12,057"
14608,"12,019"
14622,"11,976"
14586,"11,897"
14425,"11,848"
14519,"11,771"
10044,"11,682"
14201,"11,680"
11778,"11,641"
12701,"11,626"
10601,"11,612"
13041,"11,453"
14437,"11,439"
13827,"11,315"
13492,"11,268"
12549,"11,235"
14454,"11,188"
13323,"11,097"
14092,"11,083"
10604,"11,045"
13617,"11,034"
10522,"11,027"
12566,"11,003"
12188,"10,952"
13357,"10,855"
10536,"10,853"
14208,"10,805"
12211,"10,752"
14212,"10,695"
11968,"10,667"
13619,"10,640"
13078,"10,607"
13148,"10,605"
11596,"10,561"
13165,"10,559"
14502,"10,545"
14103,"10,541"
10553,"10,429"
10510,"10,381"
10707,"10,316"
14031,"10,301"
12569,"10,268"
12414,"10,203"
14059,"10,144"
14625,"10,122"
11518,"10,101"
14467,"10,056"
10970,"10,055"
12571,"9,999"
11716,"9,957"
14006,"9,949"
13904,"9,948"
13642,"9,871"
13350,"9,827"
11713,"9,710"
12210,"9,706"
10018,"9,687"
10709,"9,663"
12202,"9,624"
13603,"9,589"
14870,"9,565"
11752,"9,564"
14001,"9,549"
11771,"9,500"
14011,"9,470"
13037,"9,442"
10280,"9,384"
12209,"9,383"
14895,"9,354"
12061,"9,325"
10989,"9,300"
14522,"9,231"
11023,"9,215"
10523,"9,077"
11740,"9,070"
10920,"9,008"
10930,"8,990"
14032,"8,955"
13035,"8,851"
10005,"8,831"
13036,"8,798"
10589,"8,751"
11797,"8,737"
10706,"8,734"
11769,"8,706"
11565,"8,696"
11792,"8,688"
13214,"8,685"
14204,"8,649"
13367,"8,617"
12572,"8,596"
14905,"8,593"
12563,"8,555"
12828,"8,546"
12803,"8,525"
10579,"8,483"
13365,"8,469"
14472,"8,421"
11789,"8,380"
10595,"8,341"
11096,"8,311"
13224,"8,296"
14057,"8,284"
10504,"8,254"
10923,"8,244"
11558,"8,217"
13152,"8,208"
14482,"8,189"
11559,"8,181"
12043,"8,171"
11024,"8,101"
14892,"8,084"
13340,"8,075"
12540,"8,071"
12009,"8,036"
11934,"8,006"
12033,"7,924"
14445,"7,875"
