113,10001,New York,NY,-5,1,40.751,-73.997
114,11286,New York,NY,-5,1,40.659,-74.004
115,10257,New York,NY,-5,1,40.781,-73.977
116,10020,New York,NY,-5,1,40.759,-73.98
117,10280,New York,NY,-5,1,40.707,-74.018
118,10022,New York,NY,-5,1,40.759,-73.967
119,10171,New York,NY,-5,1,40.756,-73.974
120,10178,New York,NY,-5,1,40.751,-73.979
121,10043,New York,NY,-5,1,40.781,-73.977
122,10167,New York,NY,-5,1,40.755,-73.975
123,10169,New York,NY,-5,1,40.754,-73.976
124,10281,New York,NY,-5,1,40.715,-74.015
125,10256,New York,NY,-5,1,40.781,-73.977
126,10014,New York,NY,-5,1,40.735,-74.005
127,10106,New York,NY,-5,1,40.765,-73.98
128,10041,New York,NY,-5,1,40.703,-74.01
129,10009,New York,NY,-5,1,40.727,-73.979
130,10260,New York,NY,-5,1,40.781,-73.977
131,10269,New York,NY,-5,1,40.781,-73.977
132,10212,New York,NY,-5,1,40.781,-73.977
133,10021,New York,NY,-5,1,40.768,-73.96
134,10012,New York,NY,-5,1,40.726,-73.998
135,10094,New York,NY,-5,1,40.781,-73.977
136,10259,New York,NY,-5,1,40.781,-73.977
137,10039,New York,NY,-5,1,40.826,-73.937
138,10122,New York,NY,-5,1,40.752,-73.992
139,10114,New York,NY,-5,1,40.781,-73.977
140,10131,New York,NY,-5,1,40.781,-73.977
141,10011,New York,NY,-5,1,40.741,-74
142,10203,New York,NY,-5,1,40.781,-73.977
143,10117,New York,NY,-5,1,40.781,-73.977
144,10242,New York,NY,-5,1,40.781,-73.977
145,10125,New York,NY,-5,1,40.781,-73.977
146,10034,New York,NY,-5,1,40.868,-73.92
147,10038,New York,NY,-5,1,40.71,-74.004
148,10154,New York,NY,-5,1,40.758,-73.973
149,10172,New York,NY,-5,1,40.755,-73.974
150,10199,New York,NY,-5,1,40.75,-74.001
151,10292,New York,NY,-5,1,40.781,-73.977
152,10023,New York,NY,-5,1,40.776,-73.983
153,10035,New York,NY,-5,1,40.802,-73.934
154,10261,New York,NY,-5,1,40.781,-73.977
155,10013,New York,NY,-5,1,40.721,-74.005
156,10129,New York,NY,-5,1,40.781,-73.977
157,10152,New York,NY,-5,1,40.759,-73.972
158,10132,New York,NY,-5,1,40.781,-73.977
159,10031,New York,NY,-5,1,40.826,-73.949
160,10175,New York,NY,-5,1,40.754,-73.98
161,10279,New York,NY,-5,1,40.713,-74.009
162,10155,New York,NY,-5,1,40.761,-73.968
163,10108,New York,NY,-5,1,40.781,-73.977
164,10112,New York,NY,-5,1,40.759,-73.98
165,10055,New York,NY,-5,1,40.781,-73.977
166,10211,New York,NY,-5,1,40.781,-73.977
167,13417,New York Mills,NY,-5,1,43.102,-75.296
